tipoAlojamiento,Numerodehuespedes,Ciudad,Propietario,PrecioNoche,Imagen,Nombre,Descripcion,Servicios
Casa de Huéspedes,2,Hiroshima,,80,https://a0.muscache.com/im/pictures/b029b073-6d36-4f17-b699-87d295cbc0e0.jpg,Peace Shelter in Hiroshima,"Welcome to a place of tranquility and comfort, ideally located near the Peace Park. Enjoy a cozy and relaxing atmosphere, perfect for reflecting on the city's history.",
Apartamento,4,Hiroshima,,120,https://internationalpress.jp/wp-content/uploads/2015/09/Apato2-613x381.jpg,Rainbow Apartment Hiroshima,"Enjoy a vibrant apartment that combines comfort and style, located in the heart of Hiroshima. Ideal for families or groups looking to explore the city.",
Hotel,8,Hiroshima,,90,https://live.staticflickr.com/2914/33936453782_eec4d15bc1_b.jpg,Gran Vista Hotel Hiroshima,"Located just minutes from the famous Peace Park, this hotel offers modern rooms and a delicious buffet breakfast with local specialties, ensuring a memorable experience.",
Hotel,10,Tokio,,150,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNlKoOPl3hJ5KeWDDLKsdC_7M-8MgdMEes_A&s,Imperial Hotel Tokyo,"A symbol of luxury and elegance in the heart of Tokyo, this hotel offers exceptional service and comfortable rooms, ideal for those seeking a high-end stay near the main attractions.",
Casa de Huéspedes,3,Tokio,,100,https://d34ad2g4hirisc.cloudfront.net/volunteer_positions/photos/000/003/862/thumb/10430387_870091609677333_2442036393951564145_n.jpg,Enchanted Tokyo House,"We offer a welcoming and family-friendly atmosphere in the heart of Tokyo, perfect for those seeking an authentic experience close to Japanese culture.",
Hotel,9,Kioto,,110,https://media.traveler.es/photos/642d639ddc7ebb09ac6b4c47/16:9/w_2560%2Cc_limit/BulgariHotelTokyo-Global1.jpg,Kyoto Temple Hotel,"This hotel combines Japanese tradition with modern amenities, located near some of Kyoto's most emblematic temples, ideal for those wishing to explore the rich cultural history.",
Hotel,6,Kyoto,,85,https://www.myboutiquehotel.com/photos/116837/bulgari-hotel-tokyo-tokyo-007-53447-1110x700.jpg,Kyoto Garden Hotel,Enjoy a serene environment surrounded by beautiful Japanese gardens. This hotel is perfect for relaxing after a day exploring local temples and attractions.,
Apartamento,5,Nara,,70,https://cloudfront-eu-central-1.images.arcpublishing.com/prisaradio/OGQSYU5A7FIW3GQBMTUS64GJ4A.jpg,Serenity Apartment Nara,"A cozy apartment offering a quiet and comfortable atmosphere, ideal for couples or solo travelers wanting to explore Nara and its cultural wonders.",
Apartamento,4,Nara,,95,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQt_lsXXLWDmXifL6fMhWDefa6fVPlRccj9Fg&s,Harmony Apartment Nara,"This apartment combines modern style with a convenient location in Nara, perfect for families looking to enjoy the park and nearby attractions.",
Casa de Huéspedes,3,Osaka,,120,https://d34ad2g4hirisc.cloudfront.net/volunteer_positions/photos/000/008/033/thumb/aa8fa09112a7d79402cf025d465284f9.jpg,Traditional Osaka House,"A place offering an authentic experience with a traditional Japanese touch, ideal for those wanting to immerse themselves in local culture while exploring Osaka.",
Hotel,12,Osaka,,130,https://cf.bstatic.com/xdata/images/hotel/max1024x768/475755127.jpg?k=b74f27a5b0d9a40576bac6a1a338358368943f7f360a89fac8da32209ac2a2c4&o=&hp=1,Gran Osaka Hotel,"This modern hotel has all the necessary amenities and is located in the heart of Osaka, ideal for those looking to enjoy the vibrant urban life.",
Hotel,7,Osaka,,85,https://cf.bstatic.com/xdata/images/hotel/max1024x768/454239550.jpg?k=50b3af8a294523fab95bdbf6694e1c486aec1e4657e3eeffe73e421c16158187&o=&hp=1,Skyline Osaka Hotel,"With stunning views of Osaka's skyline, this hotel offers comfortable accommodation with easy access to the main tourist attractions.",
Casa de Huéspedes,3,Tokio,,95,https://a0.muscache.com/im/pictures/1b43b258-bf91-4be0-adb0-1dc9b22b9404.jpg,Tokyo Style Shelter,"A cozy refuge that combines comfort and style in the heart of Tokyo, ideal for those seeking an authentic experience in the vibrant capital.",
Hotel,8,Hiroshima,,110,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRS2nWVmQIN2EjjJflY2Cd57zjug0vNOJZmlStraDdBf7xV47daTD_2MT1Gt5b-Hqc1NFo&usqp=CAU,Hiroshima Port Hotel,"This hotel offers a privileged location next to the port, with impressive views and easy access to Hiroshima's main attractions, perfect for business travelers and tourists.",
Apartamento,5,Kioto,,130,https://www.mordiendoelmundo.com/wp-content/uploads/2020/02/11012020-Osaka19-2-1024x683.jpg,Zen Apartment Kyoto,"An apartment designed to provide tranquility and comfort, located in Kyoto, ideal for those wanting to enjoy the peace and beauty of the city.",
Hotel,10,Osaka,,100,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZUDCYNrigjorRFy_j1TP5byxz-jXkyF7y7Q&s,Horizon Hotel Osaka,"This modern hotel has exceptional facilities and is located in a central area of Osaka, ideal for exploring nightlife and local attractions.",
Casa de Huéspedes,4,Nara,,75,https://tochostels.com/wp-content/uploads/2021/09/toc-hostels-malaga-16.jpg,Historic Nara Shelter,"A historic refuge in Nara offering a serene and welcoming atmosphere, perfect for those seeking to immerse themselves in the rich culture and nature of the region.",
Casa de Huéspedes,3,Tokio,,180,https://tecnohotelnews.com/wp-content/uploads/2019/11/generator-madrid-02.jpg,Classic Tokyo Shelter,"Offers a classic atmosphere with a modern touch in Tokyo, ideal for those wanting to enjoy elegance and comfort during their stay.",
Apartamento,6,Hiroshima,,90,https://as01.epimg.net/diarioas/imagenes/2021/11/26/actualidad/1637948074_825989_1637948198_noticia_normal_recorte1.jpg,Bay Apartment Hiroshima,"A bright and cozy apartment in Hiroshima, ideal for families or groups looking to enjoy a comfortable stay near the main attractions.",
Apartamento,5,Kioto,,140,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyewHo8_Dmuxm5nZOxiVcPq4VdrVGoGqtN8A&s,Quiet Apartment Kyoto,"A quiet space in Kyoto, designed to provide a relaxing atmosphere after a day exploring the city's temples and gardens.",
Hotel,9,Osaka,,85,https://d0626f1e44.clvaw-cdnwnd.com/efd82a4c10d67d793c62b322158b9943/200000779-37eeb37eee/Hotel-japon-pokemon.jpg?ph=d0626f1e44,Mystic Hotel Osaka,"This mystical hotel in Osaka offers a unique experience with its charming design and exceptional services, ideal for those seeking something different during their stay.",
Casa de Huéspedes,4,Nara,,105,https://entreonigiris.com/wp-content/uploads/2018/07/room1_img_02.jpg,Zen House Nara,"A cozy house in Nara that combines traditional Japanese style with modern amenities, perfect for those seeking an authentic experience.",
Apartamento,3,Tokio,,125,https://cloudfront-us-east-1.images.arcpublishing.com/infobae/U2Y675NC3NFEXJX2HIZYBPKQPQ.jpg,Modern Tokyo Apartment,"A modern apartment in Tokyo offering all the necessary amenities for a pleasant stay, ideally located near public transportation.",
Apartamento,6,Hiroshima,,95,https://i.pinimg.com/736x/2c/b0/f6/2cb0f622383c223bc9066104b571e679.jpg,Hiroshima Arch Apartment,"A cozy apartment in Hiroshima, designed to provide a relaxing and comfortable atmosphere, perfect for enjoying the city.",
Casa de Huéspedes,4,Kioto,,110,https://media.licdn.com/dms/image/v2/C5612AQGYb7-PebzwCg/article-cover_image-shrink_600_2000/article-cover_image-shrink_600_2000/0/1520206985339?e=2147483647&v=beta&t=D3gCpgb9eewHDZ5gGkHlbx9sl383TtVKkjt302kJeTg,Imperial Kyoto House,"An elegant house in Kyoto that combines traditional and contemporary elements, offering a cozy and comfortable environment near the main temples.",
Hotel,7,Osaka,,160,https://losdosviajeros.com/img/japon/ryokan-hotel-tradicional-japones-en-takayama.jpg,Akira Hotel Osaka,"This hotel offers a modern and stylish atmosphere in Osaka, ideal for those seeking comfort and style during their visit to the city.",
